Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
12/18/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.308,51.5975,-2.49915,-1.2895,8005.45,402738058.3974190657768
12/15/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.5975,55.456,-6.95777,-3.8585,7965.45,410997183.0913737426735
12/14/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,55.456,56.5,-1.84779,-1.044,7945.45,440622742.6971311066176
12/13/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.5,56.2005,0.53291,0.2995,7945.45,448917790.0026671149
12/12/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.2005,56.082,0.21130,0.1185,7495.45,421247903.4432724458573
12/11/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.082,60.2195,-6.87070,-4.1375,7135.45,400170172.9014084449172
12/08/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,60.2195,63.7105,-5.47947,-3.491,7035.45,423671137.3905418110747
12/07/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.7105,68.703,-7.26679,-4.9925,7035.45,448231884.9993791721033
12/06/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,68.703,70.0455,-1.91661,-1.3425,7035.45,483356357.1956325450438
12/05/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,70.0455,70.6085,-0.79735,-0.563,6995.45,489999625.6129525556943
12/04/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,70.6085,70.6115,-0.00425,-0.003,6995.45,493938062.6177578934941
12/01/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,70.6115,68.146,3.61797,2.4655,6865.45,484779553.9605898935179
11/30/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,68.146,66.406,2.62025,1.74,7345.45,500562872.8764912072916
11/29/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,66.406,64.2335,3.38219,2.1725,7345.45,487781794.0339311934876
11/28/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,64.2335,65.1525,-1.41054,-0.919,7265.45,466685129.0997578429191
11/27/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,65.1525,65.78,-0.95394,-0.6275,6855.45,446649550.4539605168765
11/24/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,65.78,66.342,-0.84713,-0.562,6465.45,425297143.829653855188
11/22/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,66.342,67.947,-2.36214,-1.605,6465.45,428930725.3868485263132
11/21/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,67.947,73.3185,-7.32625,-5.3715,6065.45,412128968.8019685390462
11/20/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,73.3185,80.052,-8.41141,-6.7335,5645.45,413915750.6426645816601
11/17/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,80.052,80.738,-0.84966,-0.686,5505.45,440722092.1290886350792
11/16/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,80.738,87.256,-7.46997,-6.518,5205.45,420277429.1900059738548
11/15/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,87.256,80.8825,7.87995,6.3735,5015.45,437627896.7163313588976
11/14/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,80.8825,81.841,-1.17117,-0.9585,4845.45,391911916.3697473083345
11/13/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,81.841,79.514,2.92653,2.327,5375.45,439932007.9045713159386
11/10/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,79.514,75.962,4.67602,3.552,5375.45,427423341.3145499641444
11/09/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,75.962,74.8445,1.49310,1.1175,5545.45,421243291.4014619359652
11/08/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,74.8445,74.845,-0.00067,-0.0005,5875.45,439744938.6965419270997
11/07/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,74.845,73.411,1.95339,1.434,5835.45,436754076.420347260437
11/06/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,73.411,75.7775,-3.12296,-2.3665,5535.45,406362744.5466512490606
11/03/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,75.7775,76.1685,-0.51334,-0.391,5375.45,407337981.3172939345015
11/02/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,76.1685,77.645,-1.90160,-1.4765,5375.45,409439781.3330646042701
11/01/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,77.645,76.3455,1.70213,1.2995,5325.45,413494379.730213949317
10/31/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,76.3455,79.4535,-3.91172,-3.108,5325.45,406573960.5601526056743
10/30/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,79.4535,77.7375,2.20743,1.716,5325.45,423125451.7341046303311
10/27/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,77.7375,85.8465,-9.44593,-8.109,5175.45,402326358.6342006167175
10/26/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,85.8465,84.9425,1.06425,0.904,4735.45,406521603.3090966810489
10/25/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,84.9425,83.7325,1.44508,1.21,4735.45,402240758.6690540072105
10/24/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.7325,82.084,2.00831,1.6485,6085.45,509549742.0601473309445
10/23/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,82.084,76.199,7.72320,5.885,6125.45,502801241.6739633178664
10/20/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,76.199,78.1705,-2.52205,-1.9715,6155.45,469038952.4851899378454
10/19/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,78.1705,79.5445,-1.72734,-1.374,6125.45,478829302.4496192868193
10/18/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,79.5445,81.6375,-2.56377,-2.093,6055.45,481677552.4666752977197
10/17/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,81.6375,80.908,0.90164,0.7295,5885.45,480473229.3158006476575
10/16/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,80.908,83.4735,-3.07343,-2.5655,5885.45,476179795.2838193085368
10/13/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.4735,86.6195,-3.63198,-3.146,6125.45,511312551.1289846622231
10/12/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,86.6195,88.408,-2.02301,-1.7885,6125.45,530583209.3121420205147
10/11/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,88.408,90.6805,-2.50605,-2.2725,6125.45,541538572.3638193680368
10/10/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,90.6805,94.8895,-4.43569,-4.209,6125.45,555458652.0590593860653
10/09/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,94.8895,92.2615,2.84843,2.628,6125.45,581240661.0523554194567
10/06/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,92.2615,91.799,0.50382,0.4625,6025.45,555916834.7315233986079
10/05/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,91.799,98.1145,-6.43687,-6.3155,6025.45,553130065.2115900616054
10/04/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,98.1145,98.52,-0.41159,-0.4055,5735.45,562730574.5967554450417
10/03/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,98.52,97.7865,0.75010,0.7335,5705.45,562100698.602880781592
